species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Biscoe,39.7,18.9,184.0,3550.0,MALE
Adelie,Biscoe,38.6,17.2,199.0,3750.0,FEMALE
Adelie,Biscoe,38.2,20.0,190.0,3900.0,MALE
Adelie,Biscoe,38.1,17.0,181.0,3175.0,FEMALE
Adelie,Biscoe,43.2,19.0,197.0,4775.0,MALE
Adelie,Biscoe,38.1,16.5,198.0,3825.0,FEMALE
Adelie,Biscoe,45.6,20.3,191.0,4600.0,MALE
Adelie,Biscoe,39.7,17.7,193.0,3200.0,FEMALE
Adelie,Biscoe,42.2,19.5,197.0,4275.0,MALE
Adelie,Biscoe,39.6,20.7,191.0,3900.0,FEMALE
Adelie,Biscoe,42.7,18.3,196.0,4075.0,MALE
Adelie,Torgersen,38.6,17.0,188.0,2900.0,FEMALE
Adelie,Torgersen,37.3,20.5,199.0,3775.0,MALE
Adelie,Torgersen,35.7,17.0,189.0,3350.0,FEMALE
Adelie,Torgersen,41.1,18.6,189.0,3325.0,MALE
Adelie,Torgersen,36.2,17.2,187.0,3150.0,FEMALE
Adelie,Torgersen,37.7,19.8,198.0,3500.0,MALE
Adelie,Torgersen,40.2,17.0,176.0,3450.0,FEMALE
Adelie,Torgersen,41.4,18.5,202.0,3875.0,MALE
Adelie,Torgersen,35.2,15.9,186.0,3050.0,FEMALE
Adelie,Torgersen,40.6,19.0,199.0,4000.0,MALE
Adelie,Torgersen,38.8,17.6,191.0,3275.0,FEMALE
Adelie,Torgersen,41.5,18.3,195.0,4300.0,MALE
Adelie,Torgersen,39.0,17.1,191.0,3050.0,FEMALE
Adelie,Torgersen,44.1,18.0,210.0,4000.0,MALE
Adelie,Torgersen,38.5,17.9,190.0,3325.0,FEMALE
Adelie,Torgersen,43.1,19.2,197.0,3500.0,MALE
Adelie,Dream,36.8,18.5,193.0,3500.0,FEMALE
Adelie,Dream,37.5,18.5,199.0,4475.0,MALE
Adelie,Dream,38.1,17.6,187.0,3425.0,FEMALE
Adelie,Dream,41.1,17.5,190.0,3900.0,MALE
Adelie,Dream,35.6,17.5,191.0,3175.0,FEMALE
Adelie,Dream,40.2,20.1,200.0,3975.0,MALE
Adelie,Dream,37.0,16.5,185.0,3400.0,FEMALE
Adelie,Dream,39.7,17.9,193.0,4250.0,MALE
